timestamp,spring,angle,x0,reason,final_x,final_y,final_vx,final_vy
2025-04-03 00:02:32.197145,13225698.047530241,38.9277119557292,-4147.737970392309,no_impact,-122.11259582312668,5364.0,58.441034253064046,-123.43884475805785
2025-04-03 00:03:35.667067,5849637.895657071,68.69955504480899,-7095.024336973201,no_impact,-5283.073616328433,5364.000000000001,27.13987268279846,-135.76781052646103
2025-04-03 00:05:11.746754,48114603.66097022,52.549862123184546,-3711.659577341904,no_impact,1937.3812730434265,5363.999999999999,29.987670318750986,-159.50408189768865
2025-04-03 00:05:28.189395,600322400.0345854,55.05046533075335,-4656.127815562715,no_impact,5887.7365452493905,5364.000000000002,14.975092532607533,-176.12997122756377
2025-04-03 00:06:40.152347,236985801.93566146,33.895675029664616,-5287.437069166551,no_impact,4037.792193029608,5363.999999999999,39.49629360233046,-157.4042588894943
2025-04-03 00:07:01.816572,2641622.079883151,33.615838796928216,-4835.332205220408,no_impact,-3081.567314347362,5364.0,73.71926500603043,-75.72001869454779
2025-04-03 00:07:56.919420,52894299.8826146,56.71504612584164,-7334.017767508409,no_impact,-1864.776556354487,5364.0,25.55468060442018,-163.10959640946422
2025-04-03 00:10:43.790938,22144510.866525363,70.52519489548814,-4889.6854164713895,no_impact,-2020.7695890370865,5364.0,18.83233729102595,-160.2683899641178
2025-04-03 00:11:26.213506,984674317.2200546,73.76562889521685,-7125.8429838345155,no_impact,285.9001064641201,5363.999999999999,6.167069362646286,-180.26416963886894
2025-04-03 00:11:44.121762,8897419.3807711,46.94417140427282,-4956.3007440327,no_impact,-1643.2979785441553,5364.0,50.35497682348437,-125.95796550155899
2025-04-03 00:12:16.288347,283953154.2864782,71.25888869714541,-7010.816375277271,no_impact,-1164.5904119760835,5364.000000000003,9.205874545655915,-177.21149380986697
