spring_constant,launch_angle,x0,time_to_target,final_vy
18423201.16021819,63.6028126283654,-4765.532852885344,39.298704345837464,-116.45617797064054
14761618.125704449,68.05552092592957,-3526.8924894703505,35.95008161941698,-94.31699306853159
13068529.172664981,66.48309447023084,-3069.4526341374417,29.375849365849653,-45.23513775284215
14705390.692643486,68.00626231568872,-3512.5625019146137,35.72913559913789,-92.71419723165431
25240455.732937325,68.33899360172678,-5366.832445991972,50.88455366134615,-178.4397059250539
13022092.1333806,66.75375994067974,-3056.0862591243194,29.64432449511031,-47.50769962966678
14770486.028776716,68.06327260854435,-3529.1475574648134,35.984951600199196,-94.56956881981176
13131443.95152854,66.54508453453654,-3087.486371706095,29.61830656263152,-47.08434909235595
13113934.680737201,66.52786249012912,-3082.4762489917903,29.550824183741234,-46.56987834463744
13020256.830637477,66.43532896028563,-3055.557009397693,29.18985936238507,-43.81517754602799
19503749.816743195,63.13770207657959,-5046.317750448766,40.55472271463483,-124.13755549374982
13121314.498990458,66.53512404975586,-3084.5887336635583,29.5792660929243,-46.78673357610849
12976785.232239107,66.39216199675917,-3042.9991632236206,29.022391869439645,-42.53560528483209
12942686.752916696,66.35820114803796,-3033.1194987918057,28.891047967688024,-41.53138102180412
16742959.362650024,57.75559038907009,-4412.845476105979,29.59013046489169,-49.58034388566744
13106237.875088288,66.52028466793385,-3080.2717593152265,29.521161524658186,-46.343684005167965
13128004.228380386,66.5417030506716,-3086.5026528908916,29.60504915178689,-46.98329074574869
14645388.138722531,67.95348830089253,-3497.209836226361,35.49363237945988,-91.00130488158231
16293272.985148419,61.73184871143635,-4320.063641639169,33.65516220433133,-79.23834882776798
14629080.626853669,67.93910799418693,-3493.0264129602247,35.429675421563374,-90.53533873822218
19592241.77065294,62.89414081322028,-5080.108082162358,40.48294668384933,-123.73298057793112
13164771.202517373,64.27618331036786,-3015.587023332867,25.90675833884332,-15.85617906308632
13116477.344410418,66.41503422167281,-3079.124530160211,29.36610557704722,-45.026085976491196
13131909.971568957,64.24392418886914,-3006.2024140762255,25.79841799418118,-15.036472609244143
13106237.875088288,66.47672280916441,-3080.2717593152265,29.459714418226113,-45.84478195238552
14770486.028776716,68.06584562203267,-3529.1475574648134,35.98980668387676,-94.60754613858494
13126674.363810264,64.23877705784923,-3004.705044923858,25.781153983710688,-14.90583164580098
13224860.739383064,64.3349641381385,-3032.6871511349036,26.104793562728098,-17.353932802478823
15515540.70612147,59.57519231074414,-3982.9874101469286,28.54964174957023,-40.40167775773234
13052743.297963897,67.29950827020215,-3053.589842567912,30.38657176774235,-53.341829598467754
14626729.559269838,63.6028126283654,-3742.1353224610766,31.589624387026966,-63.7288026072355
15826393.972344175,66.89961897054275,-3884.280207118508,37.263520387900336,-103.08711045359897
13164771.202517373,64.31296232898355,-3015.587023332867,25.948083338998146,-16.18313821789155
14974756.584188739,60.46993464475918,-3780.281855974209,27.97832361128672,-35.26683576983179
13054290.494743599,67.93910799418693,-3037.390254089605,31.174305726403155,-59.5665982417103
15494392.032551033,59.12054297794701,-3927.509719797282,27.569629226942762,-32.32252270330127
14301228.412367668,65.52032021845174,-3552.88314508423,32.495392177234066,-69.85429262118222
14626729.559269838,62.411626829628226,-3742.1353224610766,30.07606396705576,-52.19757508606256
12996177.857474772,65.73892595601203,-3024.817070572346,27.919829733200967,-33.19819281543983
13198707.08778543,64.30941298871547,-3025.253980538403,26.018611402186966,-16.70222478853843
13134838.498845411,64.32843448183236,-3009.92735165151,25.930568509050243,-16.132576678811578
14626729.559269838,68.33803763851499,-3455.2462838324104,35.71817958017146,-92.45776101717611
13262122.67814165,64.37128052702822,-3069.4526341374417,26.545158086646293,-21.333860276912386
13120747.240327585,64.32843448183236,-3003.0091832810845,25.868350937930995,-15.602303738683249
13145989.069171634,64.29635393859552,-3010.2260372751907,25.88807076656263,-15.729673386082382
12967841.74972366,66.40654819678704,-3015.8444561097876,28.72783260883012,-39.7861752923929
13127102.644259468,66.47672280916441,-3080.2717593152265,29.493945669401644,-46.06230874803465
13105069.636964554,64.74260711109888,-2997.9337414136403,26.299979512276593,-19.039826270655535
13022808.948944116,65.49449245288062,-3018.2216053197844,27.50872127792487,-29.605765738737418
13110366.773725644,64.6189991461111,-2999.594990165703,26.170578822490196,-18.005208748435642
13180998.31309579,64.29208340781199,-3020.2125740212723,25.960246879655593,-16.26079142221087
15414691.643004406,59.64145099843096,-3950.7725886710355,28.36664074347574,-38.94419592843954
12946646.473898686,65.6537142383815,-3009.208004403348,27.67742269482802,-31.300003877806166
