spring_constant,launch_angle,time_to_target
54072195.20873107,53.625805764920464,11.46547123881077
345417116.2199287,50.4633641818551,4.202444201690211
205900837.1370359,50.56330572013094,5.484661927227678
580757756.5631074,50.03747170908568,3.215415993991384
526268672.8130209,49.9806402062693,3.3892806076808952
2532569822.661191,49.9873281104832,1.5353676634301197
823129852.2026043,50.255873176022725,2.71005217433885
2532569822.661191,49.9873281104832,1.5353676634301197
760431347.0849341,49.98220695652337,2.803581864104833
8846345826.168938,49.68846227025723,0.819650885804562
1709074124.9869688,50.03747170908568,1.8711687619179502
7403947221.472336,49.89320767764824,0.8960051243541235
82338843.49054484,52.17671367509229,8.95984221236384
823129852.2026043,50.27293237923298,2.7111835144679692
3271349233.759984,50.10403903245702,1.354795078503511
725889874.6667602,50.10368791134543,2.875018308374638
806399475.4022471,50.23818056038748,2.7368129451943233
936129430.5716084,49.80583864725456,2.5338902696171104
890080244.6893594,50.11564924497427,2.5973174853620917
310386985.57895714,50.518088659560206,4.438733704968053
1571199510.633835,49.80583864725456,1.94786052478091
926783899.3524388,50.24717968759893,2.553585126188499
5571595221.79921,50.10403903245702,1.038163725405929
5334272155.987106,49.8236309829246,1.053824121173707
3527579119.112737,49.907419974480334,1.2984680570175555
2406825733.4926586,49.77880077564946,1.5717654076752292
4495150321.424519,49.86346104552552,1.1490674219007326
8529969168.22451,49.9873281104832,0.8366810937418667
1521910580.210739,49.88211479195731,1.9754016254281133
925736782.4369813,50.25557032294141,2.555552225079902
668762785.5501726,50.022155794641805,2.991222020613006
8529969168.22451,49.75276406026451,0.8332039381790046
1429522220.6226366,49.907419974480334,2.0394529009249642
686256437.3950135,50.04794249473311,2.9527930824969846
616578023.3750573,50.255873176022725,3.130817014933127
1535927410.3668563,49.881106074593276,1.9663233132486049
4042533790.1050544,49.630215130572026,1.2160800266597067
4297682088.439167,49.86391189396253,1.175178174559668
1787368654.7650921,49.971686904313,1.826827145213198
9401693411.376749,49.92094172967938,0.7956724767916592
8615615007.113585,49.9152946168564,0.8310622108603153
3290062789.47096,50.03747170908568,1.348753238223947
2776232593.896198,49.92942687222483,1.4644062192805172
5571595221.79921,50.001652570845785,1.0355846640811401
6534368086.183322,49.8675329849966,0.9531660686633147
3940997116.5416245,50.05799254533284,1.2329780550913494
6289680555.239515,49.86391189396253,0.9714428816537664
6307921819.063554,49.800211729423665,0.9685496011119479
4294117518.94537,49.86346104552552,1.1756529718889606
1134974256.1525476,50.086230476669634,2.298642486766296
2874924414.0682693,49.72239811825922,1.4395550513111288
8562992860.575344,49.768711375618516,0.8312118273597066
926783899.3524388,49.96635885723125,2.5362002340092196
9365079350.900095,49.55091301712807,0.7997520546562213
1845577956.1538222,49.83369199259685,1.794200080113712
6307921819.063554,50.014963500868795,0.9735886734729424
806399475.4022471,49.830767890741626,2.7326221679766785
7788208283.916492,49.899082157422335,0.8737475368297902
1612407363.5310063,50.10478273228016,1.9295734219553484
1763916598.7557235,50.03276983499031,1.8416516537750132
2609103106.5811095,50.14778010455365,1.518597608409399
1241641264.1523619,49.72812421885101,2.1996463544642273
9456094023.467613,50.058985439986714,0.7960396730432733
2759438645.6663804,50.006017365629624,1.471581171529266
1864160420.0645022,49.77880077564946,1.787978426874415
806399475.4022471,50.029251821610046,2.7229263754972743
4495150321.424519,49.765282244230036,1.148477915382714
9401693411.376749,49.92094172967938,0.7956724767916592
9401693627.85876,49.92094172967938,0.7956724676317946
9401693411.376749,49.92094173967938,0.7956724769840258
10000000000.0,49.90170507455903,0.7711456201696779
9999999769.741474,49.90170507455903,0.7711456290472256
10000000000.0,49.90170508455903,0.7711456203559827
10000000000.0,49.8745278380747,0.7706397160977445
9999999769.741474,49.8745278380747,0.7706397249694688
10000000000.0,49.8745278480747,0.7706397162837398
10000000000.0,49.8745278380747,0.7706397160977445
9999999769.741474,49.8745278380747,0.7706397249694688
10000000000.0,49.8745278480747,0.7706397162837398
10000000000.0,49.8745278380747,0.7706397160977445
9999999769.741474,49.8745278380747,0.7706397249694688
10000000000.0,49.8745278480747,0.7706397162837398
